batch_size,prepare_time_ms,t_init_ms,agg_intercept_ms,agg_slope_ms_per_item
1,752.750321144976,752.726,1.7268533327303972,0.024321144976033285
2,752.7746422899521,752.726,1.7268533327303972,0.024321144976033285
3,752.798963434928,752.726,1.7268533327303972,0.024321144976033285
4,752.8232845799041,752.726,1.7268533327303972,0.024321144976033285
5,752.8476057248802,752.726,1.7268533327303972,0.024321144976033285
6,752.8719268698562,752.726,1.7268533327303972,0.024321144976033285
7,752.8962480148323,752.726,1.7268533327303972,0.024321144976033285
8,752.9205691598082,752.726,1.7268533327303972,0.024321144976033285
9,752.9448903047843,752.726,1.7268533327303972,0.024321144976033285
10,752.9692114497603,752.726,1.7268533327303972,0.024321144976033285
11,752.9935325947364,752.726,1.7268533327303972,0.024321144976033285
12,753.0178537397125,752.726,1.7268533327303972,0.024321144976033285
13,753.0421748846884,752.726,1.7268533327303972,0.024321144976033285
14,753.0664960296644,752.726,1.7268533327303972,0.024321144976033285
15,753.0908171746405,752.726,1.7268533327303972,0.024321144976033285
16,753.1151383196166,752.726,1.7268533327303972,0.024321144976033285
17,753.1394594645926,752.726,1.7268533327303972,0.024321144976033285
18,753.1637806095686,752.726,1.7268533327303972,0.024321144976033285
19,753.1881017545446,752.726,1.7268533327303972,0.024321144976033285
20,753.2124228995207,752.726,1.7268533327303972,0.024321144976033285
21,753.2367440444967,752.726,1.7268533327303972,0.024321144976033285
22,753.2610651894728,752.726,1.7268533327303972,0.024321144976033285
23,753.2853863344487,752.726,1.7268533327303972,0.024321144976033285
24,753.3097074794248,752.726,1.7268533327303972,0.024321144976033285
25,753.3340286244008,752.726,1.7268533327303972,0.024321144976033285
26,753.3583497693769,752.726,1.7268533327303972,0.024321144976033285
27,753.3826709143528,752.726,1.7268533327303972,0.024321144976033285
28,753.4069920593289,752.726,1.7268533327303972,0.024321144976033285
29,753.431313204305,752.726,1.7268533327303972,0.024321144976033285
30,753.455634349281,752.726,1.7268533327303972,0.024321144976033285
31,753.4799554942571,752.726,1.7268533327303972,0.024321144976033285
32,753.504276639233,752.726,1.7268533327303972,0.024321144976033285
33,753.5285977842091,752.726,1.7268533327303972,0.024321144976033285
34,753.5529189291851,752.726,1.7268533327303972,0.024321144976033285
35,753.5772400741612,752.726,1.7268533327303972,0.024321144976033285
36,753.6015612191372,752.726,1.7268533327303972,0.024321144976033285
37,753.6258823641132,752.726,1.7268533327303972,0.024321144976033285
38,753.6502035090892,752.726,1.7268533327303972,0.024321144976033285
39,753.6745246540653,752.726,1.7268533327303972,0.024321144976033285
40,753.6988457990414,752.726,1.7268533327303972,0.024321144976033285
41,753.7231669440174,752.726,1.7268533327303972,0.024321144976033285
42,753.7474880889934,752.726,1.7268533327303972,0.024321144976033285
43,753.7718092339694,752.726,1.7268533327303972,0.024321144976033285
44,753.7961303789455,752.726,1.7268533327303972,0.024321144976033285
