timestamp,scheme,file_size_mb,operation,n_leaves,n_runs,mean_ms,std_ms,median_ms,min_ms,max_ms
2026-04-24T07:31:42.702274+00:00,xauth,1,total,16,12,0.687136,0.014577,0.678748,0.675552,0.719336
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,1,total,16,12,0.701224,0.047976,0.703776,0.583668,0.771494
2026-04-24T07:31:42.702274+00:00,scape_zk,1,total,16,12,0.002075,5.9e-05,0.002084,0.002004,0.002204
2026-04-24T07:31:42.702274+00:00,xauth,5,payload_hash,16,12,2.51867,0.049068,2.509374,2.474847,2.599997
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,5,payload_hash,16,12,2.51867,0.049068,2.509374,2.474847,2.599997
2026-04-24T07:31:42.702274+00:00,xauth,5,compare_hash,16,12,2.52898,0.109574,2.491049,2.440984,2.80219
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,5,commit_hash,16,12,2.489962,0.038051,2.483755,2.438508,2.566752
2026-04-24T07:31:42.702274+00:00,scape_zk,5,compact_leaf_hash,16,12,0.000395,3.3e-05,0.000381,0.000361,0.00047
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,5,merkle_verify,16,12,0.001733,5.2e-05,0.001724,0.001683,0.001874
2026-04-24T07:31:42.702274+00:00,scape_zk,5,merkle_verify,16,12,0.00171,1.6e-05,0.001713,0.001683,0.001734
2026-04-24T07:31:42.702274+00:00,xauth,5,total,16,12,2.515271,0.06608,2.511187,2.439721,2.656653
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,5,total,16,12,2.510814,0.074849,2.492882,2.440523,2.659669
2026-04-24T07:31:42.702274+00:00,scape_zk,5,total,16,12,0.002038,4.2e-05,0.002034,0.001984,0.002134
2026-04-24T07:31:42.702274+00:00,xauth,10,payload_hash,16,12,5.283012,0.143884,5.270195,5.13077,5.594681
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,10,payload_hash,16,12,5.283012,0.143884,5.270195,5.13077,5.594681
2026-04-24T07:31:42.702274+00:00,xauth,10,compare_hash,16,12,5.374433,0.172985,5.387587,5.138515,5.782177
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,10,commit_hash,16,12,5.250291,0.187145,5.223215,5.014038,5.652861
2026-04-24T07:31:42.702274+00:00,scape_zk,10,compact_leaf_hash,16,12,0.000434,0.000101,0.000411,0.000381,0.000751
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,10,merkle_verify,16,12,0.001754,4.7e-05,0.001744,0.001694,0.001874
2026-04-24T07:31:42.702274+00:00,scape_zk,10,merkle_verify,16,12,0.002247,0.000735,0.001773,0.001713,0.003417
2026-04-24T07:31:42.702274+00:00,xauth,10,total,16,12,5.247094,0.248792,5.226021,5.013698,5.835884
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,10,total,16,12,5.269244,0.127137,5.275985,5.079684,5.548592
2026-04-24T07:31:42.702274+00:00,scape_zk,10,total,16,12,0.002096,3.9e-05,0.002094,0.002044,0.002164
2026-04-24T07:31:42.702274+00:00,xauth,20,payload_hash,16,12,11.56792,0.210811,11.584172,11.217114,11.853372
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,20,payload_hash,16,12,11.56792,0.210811,11.584172,11.217114,11.853372
2026-04-24T07:31:42.702274+00:00,xauth,20,compare_hash,16,12,11.8629,0.475108,11.876074,11.281816,12.810337
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,20,commit_hash,16,12,11.652972,0.277852,11.819608,11.175936,11.9423
2026-04-24T07:31:42.702274+00:00,scape_zk,20,compact_leaf_hash,16,12,0.000419,2.8e-05,0.000411,0.00039,0.000481
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,20,merkle_verify,16,12,0.001813,6.2e-05,0.001793,0.001744,0.001954
2026-04-24T07:31:42.702274+00:00,scape_zk,20,merkle_verify,16,12,0.00179,5.7e-05,0.001774,0.001753,0.001953
2026-04-24T07:31:42.702274+00:00,xauth,20,total,16,12,11.778034,0.171568,11.790631,11.43623,12.028464
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,20,total,16,12,11.620002,0.171338,11.584881,11.385724,11.896192
2026-04-24T07:31:42.702274+00:00,scape_zk,20,total,16,12,0.002022,3.7e-05,0.002013,0.001984,0.002094
2026-04-24T07:31:42.702274+00:00,xauth,50,payload_hash,16,12,58.362032,0.855981,58.30913,57.661129,60.694749
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,50,payload_hash,16,12,58.362032,0.855981,58.30913,57.661129,60.694749
2026-04-24T07:31:42.702274+00:00,xauth,50,compare_hash,16,12,57.727606,0.357781,57.823157,57.053316,58.307065
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,50,commit_hash,16,12,58.049223,0.591072,57.950729,57.514833,59.739455
2026-04-24T07:31:42.702274+00:00,scape_zk,50,compact_leaf_hash,16,12,0.000409,2.1e-05,0.00041,0.00038,0.000451
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,50,merkle_verify,16,12,0.001767,9e-05,0.001744,0.001703,0.002044
2026-04-24T07:31:42.702274+00:00,scape_zk,50,merkle_verify,16,12,0.001732,2.4e-05,0.001733,0.001693,0.001773
2026-04-24T07:31:42.702274+00:00,xauth,50,total,16,12,57.663256,0.408465,57.604472,57.283362,58.763943
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,50,total,16,12,59.638249,4.190305,57.775327,57.115653,71.32701
2026-04-24T07:31:42.702274+00:00,scape_zk,50,total,16,12,0.002116,0.000121,0.002074,0.001993,0.002385
2026-04-24T07:31:42.702274+00:00,xauth,100,payload_hash,16,12,116.824128,0.970766,116.559457,115.815825,119.447729
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,100,payload_hash,16,12,116.824128,0.970766,116.559457,115.815825,119.447729
2026-04-24T07:31:42.702274+00:00,xauth,100,compare_hash,16,12,116.810397,1.234926,116.49848,115.942025,120.456882
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,100,commit_hash,16,12,117.381399,1.399865,117.055771,116.188462,121.055824
2026-04-24T07:31:42.702274+00:00,scape_zk,100,compact_leaf_hash,16,12,0.000434,8.9e-05,0.000431,0.000371,0.000701
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,100,merkle_verify,16,12,0.001822,7.4e-05,0.001804,0.001763,0.002023
2026-04-24T07:31:42.702274+00:00,scape_zk,100,merkle_verify,16,12,0.001756,1.8e-05,0.001753,0.001733,0.001793
2026-04-24T07:31:42.702274+00:00,xauth,100,total,16,12,120.063784,3.067841,120.487613,116.389094,125.75373
2026-04-24T07:31:42.702274+00:00,ssl_xiomt,100,total,16,12,120.487757,9.206531,117.4575,116.321803,149.316249
2026-04-24T07:31:42.702274+00:00,scape_zk,100,total,16,12,0.002036,4.2e-05,0.002034,0.001974,0.002124
2026-04-24T07:37:24.577197+00:00,xauth,1,payload_hash,16,12,0.695582,0.022036,0.683072,0.673084,0.728049
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,1,payload_hash,16,12,0.695582,0.022036,0.683072,0.673084,0.728049
2026-04-24T07:37:24.577197+00:00,xauth,1,compare_hash,16,12,0.706057,0.025598,0.711507,0.668876,0.748823
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,1,commit_hash,16,12,0.732789,0.045109,0.727478,0.687211,0.861093
2026-04-24T07:37:24.577197+00:00,scape_zk,1,compact_leaf_hash,16,12,0.000559,2.4e-05,0.000561,0.000521,0.000601
2026-04-24T07:37:24.577197+00:00,ssl_xiomt,1,merkle_verify,16,12,0.002455,8.8e-05,0.002455,0.002345,0.002635
