n_requests,scheme,basis,offchain_formula,onchain_formula,offchain_ms,onchain_ms,total_ms,T_zk_v_ms,T_pair_ms,T_grp_ms,T_hash_ms,T_merk_ms,source_file,source_filter_or_formula,notes
50,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity [30],formula_derived,n*T_zk^v + T_pair + n*T_grp,n*T_hash,928.0305639285716,0.03297605099999146,928.0635399795716,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.003957126119998974,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v + T_pair + n*T_grp; onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
50,SCAPE-ZK,formula_derived,n*T_zk^v,T_pair,623.5285714285715,31.92812,655.4566914285715,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.003957126119998974,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v; onchain=T_pair; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
100,XAuth [6],formula_derived,n*(T_zk^v + ceil(log2 n)*T_hash),n*T_hash,1247.5188075711428,0.06595210199998292,1247.5847596731428,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.004616647139998804,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*(T_zk^v + ceil(log2 n)*T_hash); onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
100,SSL-XIoMT [8],formula_derived,n*(T_zk^v + ceil(log2 n)*T_hash),n*T_hash,1247.5188075711428,0.06595210199998292,1247.5847596731428,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.004616647139998804,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*(T_zk^v + ceil(log2 n)*T_hash); onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
100,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity [30],formula_derived,n*T_zk^v + T_pair + n*T_grp,n*T_hash,1824.1330078571432,0.06595210199998292,1824.1989599591432,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.004616647139998804,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v + T_pair + n*T_grp; onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
100,SCAPE-ZK,formula_derived,n*T_zk^v,T_pair,1247.057142857143,31.92812,1278.985262857143,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.004616647139998804,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v; onchain=T_pair; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
200,XAuth [6],formula_derived,n*(T_zk^v + ceil(log2 n)*T_hash),n*T_hash,2495.1695193462856,0.13190420399996583,2495.3014235502856,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.005276168159998633,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*(T_zk^v + ceil(log2 n)*T_hash); onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
200,SSL-XIoMT [8],formula_derived,n*(T_zk^v + ceil(log2 n)*T_hash),n*T_hash,2495.1695193462856,0.13190420399996583,2495.3014235502856,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.005276168159998633,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*(T_zk^v + ceil(log2 n)*T_hash); onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
200,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity [30],formula_derived,n*T_zk^v + T_pair + n*T_grp,n*T_hash,3616.337895714286,0.13190420399996583,3616.469799918286,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.005276168159998633,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v + T_pair + n*T_grp; onchain=n*T_hash; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
200,SCAPE-ZK,formula_derived,n*T_zk^v,T_pair,2494.114285714286,31.92812,2526.042405714286,12.470571428571429,31.92812,5.4514774500000005,0.0006595210199998291,0.005276168159998633,results/groth16_bench.csv; results/bls_bench.csv; local SHA-256 calibration,"offchain=n*T_zk^v; onchain=T_pair; T_merk(n)=ceil(log2(max(n,2)))*T_hash",Formula-derived authorization-verification slice estimator; not a full integrated baseline benchmark.
